[01:26:50.647] [INFO] ============================================================
[01:26:50.647] [INFO] 🎓 Dil Evi — English Lesson (DEBUG MODE)
[01:26:50.648] [INFO] ============================================================
[01:26:50.648] [INFO] Log file: debug_20260419_012650.log
[01:26:50.648] [INFO] Teacher: Amelia
[01:26:50.650] [INFO] Level: A2
[01:26:57.086] [DEBUG] VAD: is_speech=False, energy=0.0192, is_playing=False
[01:26:57.115] [DEBUG] VAD: is_speech=False, energy=0.0215, is_playing=False
[01:26:57.147] [DEBUG] VAD: is_speech=False, energy=0.0190, is_playing=False
[01:26:57.176] [DEBUG] VAD: is_speech=False, energy=0.0206, is_playing=False
[01:26:57.198] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:57.228] [DEBUG] VAD: is_speech=False, energy=0.0206, is_playing=False
[01:26:57.259] [DEBUG] VAD: is_speech=False, energy=0.0193, is_playing=False
[01:26:57.289] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:57.320] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:57.349] [DEBUG] VAD: is_speech=False, energy=0.0186, is_playing=False
[01:26:57.380] [DEBUG] VAD: is_speech=False, energy=0.0179, is_playing=False
[01:26:57.410] [DEBUG] VAD: is_speech=False, energy=0.0191, is_playing=False
[01:26:57.441] [DEBUG] VAD: is_speech=False, energy=0.0182, is_playing=False
[01:26:57.472] [DEBUG] VAD: is_speech=False, energy=0.0186, is_playing=False
[01:26:57.502] [DEBUG] VAD: is_speech=False, energy=0.0185, is_playing=False
[01:26:57.533] [DEBUG] VAD: is_speech=False, energy=0.0193, is_playing=False
[01:26:57.563] [DEBUG] VAD: is_speech=False, energy=0.0183, is_playing=False
[01:26:57.594] [DEBUG] VAD: is_speech=False, energy=0.0176, is_playing=False
[01:26:57.623] [DEBUG] VAD: is_speech=False, energy=0.0172, is_playing=False
[01:26:57.655] [DEBUG] VAD: is_speech=False, energy=0.0188, is_playing=False
[01:26:57.684] [DEBUG] VAD: is_speech=False, energy=0.0180, is_playing=False
[01:26:57.716] [DEBUG] VAD: is_speech=False, energy=0.0209, is_playing=False
[01:26:57.746] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:57.777] [DEBUG] VAD: is_speech=False, energy=0.0206, is_playing=False
[01:26:57.807] [DEBUG] VAD: is_speech=False, energy=0.0198, is_playing=False
[01:26:57.828] [DEBUG] VAD: is_speech=False, energy=0.0184, is_playing=False
[01:26:57.857] [DEBUG] VAD: is_speech=False, energy=0.0177, is_playing=False
[01:26:57.888] [DEBUG] VAD: is_speech=False, energy=0.0191, is_playing=False
[01:26:57.919] [DEBUG] VAD: is_speech=False, energy=0.0177, is_playing=False
[01:26:57.949] [DEBUG] VAD: is_speech=False, energy=0.0214, is_playing=False
[01:26:57.980] [DEBUG] VAD: is_speech=False, energy=0.0196, is_playing=False
[01:26:58.009] [DEBUG] VAD: is_speech=False, energy=0.0216, is_playing=False
[01:26:58.040] [DEBUG] VAD: is_speech=False, energy=0.0205, is_playing=False
[01:26:58.072] [DEBUG] VAD: is_speech=False, energy=0.0216, is_playing=False
[01:26:58.102] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:58.131] [DEBUG] VAD: is_speech=False, energy=0.0201, is_playing=False
[01:26:58.162] [DEBUG] VAD: is_speech=False, energy=0.0218, is_playing=False
[01:26:58.193] [DEBUG] VAD: is_speech=False, energy=0.0195, is_playing=False
[01:26:58.223] [DEBUG] VAD: is_speech=False, energy=0.0176, is_playing=False
[01:26:58.254] [DEBUG] VAD: is_speech=False, energy=0.0199, is_playing=False
[01:26:58.284] [DEBUG] VAD: is_speech=False, energy=0.0184, is_playing=False
[01:26:58.314] [DEBUG] VAD: is_speech=False, energy=0.0195, is_playing=False
[01:26:58.345] [DEBUG] VAD: is_speech=False, energy=0.0193, is_playing=False
[01:26:58.376] [DEBUG] VAD: is_speech=False, energy=0.0179, is_playing=False
[01:26:58.407] [DEBUG] VAD: is_speech=False, energy=0.0172, is_playing=False
[01:26:58.436] [DEBUG] VAD: is_speech=False, energy=0.0180, is_playing=False
[01:26:58.456] [DEBUG] VAD: is_speech=False, energy=0.0172, is_playing=False
[01:26:58.487] [DEBUG] VAD: is_speech=False, energy=0.0192, is_playing=False
[01:26:58.518] [DEBUG] VAD: is_speech=False, energy=0.0183, is_playing=False
[01:26:58.548] [DEBUG] VAD: is_speech=False, energy=0.0195, is_playing=False
[01:26:58.579] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:58.610] [DEBUG] VAD: is_speech=False, energy=0.0176, is_playing=False
[01:26:58.640] [DEBUG] VAD: is_speech=False, energy=0.0194, is_playing=False
[01:26:58.671] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:58.700] [DEBUG] VAD: is_speech=False, energy=0.0193, is_playing=False
[01:26:58.731] [DEBUG] VAD: is_speech=False, energy=0.0188, is_playing=False
[01:26:58.761] [DEBUG] VAD: is_speech=False, energy=0.0192, is_playing=False
[01:26:58.792] [DEBUG] VAD: is_speech=False, energy=0.0194, is_playing=False
[01:26:58.822] [DEBUG] VAD: is_speech=False, energy=0.0190, is_playing=False
[01:26:58.853] [DEBUG] VAD: is_speech=False, energy=0.0188, is_playing=False
[01:26:58.883] [DEBUG] VAD: is_speech=False, energy=0.0164, is_playing=False
[01:26:58.915] [DEBUG] VAD: is_speech=False, energy=0.0178, is_playing=False
[01:26:58.945] [DEBUG] VAD: is_speech=False, energy=0.0174, is_playing=False
[01:26:58.975] [DEBUG] VAD: is_speech=False, energy=0.0182, is_playing=False
